Query seq	Query length (nt)	Hit HOT	Hit HOMD seq name	HOMD clone name	Identities (%)	Mismatch	Identities (no gaps & non-AGCTU) (%)	Mismatch (no gaps & non-AGCTU)	Score (bits)	Query Start	Sbjct Start	Query End	Sbjct End
B902618_N12_JTC_WGACA63515_F_WGACA63515	751	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.9	1/751	99.9	1/751	1350	1	134	751	884
	
B902619_B18_JTC_WGACA63233_R_WGACA63233	823	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	98.8	10/823	98.8	10/823	1440	1	1355	823	533
	
B902619_C06_JTC_WGACA63245_R_WGACA63245	681	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.6	3/681	99.7	2/680	1211	1	1309	681	630
	
B902619_F05_JTC_WGACA63316_R_WGACA63316	683	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	98.5	10/683	98.5	10/683	1187	1	1307	683	625
	
B902619_G12_JTC_WGACA63347_R_WGACA63347	676	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	98.5	10/676	98.5	10/676	1175	1	1308	676	633
	
B902619_G21_JTC_WGACA63356_R_WGACA63356	809	022	022_3223 	Lautropia mirabilis | HOT_022 | Strain_Fredericksen | GB_X73223 | Named | G | 5	93.8	50/809	94.1	48/807	1227	1	1317	809	511
	
B902619_H14_JTC_WGACA63373_R_WGACA63373	725	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.7	2/725	99.9	1/724	1296	1	1309	725	586
	
B902619_L23_JTC_WGACA63478_R_WGACA63478	641	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.5	3/641	99.7	2/640	1139	1	1310	641	671
	
B902619_N12_JTC_WGACA63515_R_WGACA63515	675	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.4	4/675	99.7	2/673	1193	1	1309	675	637
	
B902620_B21_JTC_WGACA63620_F_WGACA63620	741	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.6	3/741	99.7	2/740	1319	1	141	741	880
	
B902620_H20_JTC_WGACA63763_F_WGACA63763	206	389	389_0541 	Abiotrophia defectiva | HOT_389 | Strain_ATCC 49176 | GB_D50541 | Named | G | 5	99	2/206	99	2/206	363	1	222	206	427
	
B902620_I22_JTC_WGACA63789_F_WGACA63789	689	596	596_5408 	Granulicatella elegans | HOT_596 | Strain_2640-91 | GB_Y15408 | Named | G | 5	99.3	5/689	99.4	4/688	1216	1	142	689	829
	
B902620_J15_JTC_WGACA63806_F_WGACA63806	717	596	596_5408 	Granulicatella elegans | HOT_596 | Strain_2640-91 | GB_Y15408 | Named | G | 5	99.4	4/717	99.6	3/716	1272	1	142	717	857
	
B902620_L10_JTC_WGACA63849_F_WGACA63849	791	946	946_0755 	Haemophilus pittmaniae | HOT_946 | Strain_CCUG 48703 | GB_AJ290755 | Named | G | 4	100	0/791	100	0/791	1427	1	95	791	885
	
B902620_N04_JTC_WGACA63891_F_WGACA63891	666	219	219EI022 	Leptotrichia sp. | HOT_219 | Clone_EI022 | GB_AF385572 | Phylotype | X | 4	92.8	44/607	93.1	42/605	890	60	197	666	801
	
B902620_P02_JTC_WGACA63937_F_WGACA63937	791	212	212BU064 	Leptotrichia sp. | HOT_212 | Clone_BU064 | GB_AY008309 | Unnamed | G | 5	99.9	1/791	99.9	1/791	1422	1	94	791	884
	
B902621_B21_JTC_WGACA63620_R_WGACA63620	761	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.7	2/761	99.7	2/761	1364	1	1317	761	557
	
B902621_D09_JTC_WGACA63656_R_WGACA63656	748	284	284EP003 	Porphyromonas sp. | HOT_284 | Clone_EP003 | GB_AY008313 | Lost | X | 4	98.9	8/748	99.3	5/745	1303	1	1313	748	569
	
B902621_D23_JTC_WGACA63670_R_WGACA63670	431	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.8	1/431	99.8	1/431	773	1	1229	431	799
	
B902621_H20_JTC_WGACA63763_R_WGACA63763	713	389	389_0541 	Abiotrophia defectiva | HOT_389 | Strain_ATCC 49176 | GB_D50541 | Named | G | 5	99.7	2/713	99.7	2/713	1278	1	1338	713	626
	
B902621_I22_JTC_WGACA63789_R_WGACA63789	795	596	596_5408 	Granulicatella elegans | HOT_596 | Strain_2640-91 | GB_Y15408 | Named | G | 5	100	0/795	100	0/795	1434	1	1375	795	581
	
B902621_J15_JTC_WGACA63806_R_WGACA63806	800	596	596_5408 	Granulicatella elegans | HOT_596 | Strain_2640-91 | GB_Y15408 | Named | G | 5	99.8	2/800	99.9	1/799	1431	1	1339	800	541
	
B902621_J16_JTC_WGACA63807_R_WGACA63807	508	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.6	2/508	99.8	1/507	904	1	1311	508	805
	
B902621_K01_JTC_WGACA63816_R_WGACA63816	405	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.5	2/405	99.5	2/405	722	1	1231	405	827
	
B902621_L10_JTC_WGACA63849_R_WGACA63849	859	946	946_0755 	Haemophilus pittmaniae | HOT_946 | Strain_CCUG 48703 | GB_AJ290755 | Named | G | 4	99.8	2/859	99.8	2/859	1541	1	1417	859	559
	
B902621_N04_JTC_WGACA63891_R_WGACA63891	754	844	844_8425 	Sneathia amnii [NVP] | HOT_844 | Strain_AMN-1 | GB_AY078425 | Named | G | 2	93.2	51/755	93.6	48/752	1126	1	1302	753	549
	
B902621_P02_JTC_WGACA63937_R_WGACA63937	595	212	212BU064 	Leptotrichia sp. | HOT_212 | Clone_BU064 | GB_AY008309 | Unnamed | G | 5	99.8	1/595	99.8	1/595	1068	1	1215	595	621
	
B902622_A23_JTC_WGACA63982_F_WGACA63982	427	279	279F450d 	Porphyromonas sp. | HOT_279 | Strain_F0450d | GB_tbd | Unnamed | G | 6	99.5	2/427	99.5	2/427	762	1	143	427	569
	
B902622_B03_JTC_WGACA63986_F_WGACA63986	809	473	473IK062 	Alloprevotella sp. | HOT_473 | Clone_IK062 | GB_AY349402 | Unnamed | G | 5	98.3	14/811	98.6	11/808	1389	1	136	809	945
	
B902622_C08_JTC_WGACA64015_F_WGACA64015	835	329	329BM058 	Capnocytophaga leadbetteri | HOT_329 | Clone_BM058 | GB_AY005075 | Named | G | 5	99.8	2/835	99.8	2/835	1498	1	97	835	931
	
B902622_C13_JTC_WGACA64020_F_WGACA64020	837	337	337_7608 	Capnocytophaga gingivalis | HOT_337 | Strain_ATCC 33624 | GB_X67608 | Named | G | 5	92.7	61/837	92.7	61/837	1234	1	98	837	934
	
B902622_E17_JTC_WGACA64072_F_WGACA64072	572	146	146EW084 	Selenomonas sp. | HOT_146 | Clone_EW084 | GB_AF385503 | Lost | X | 3	97.7	13/572	97.7	13/572	973	1	142	572	713
	
B902622_G01_JTC_WGACA64104_F_WGACA64104	674	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.6	3/673	99.7	2/672	1196	3	142	674	814
	
B902622_I16_JTC_WGACA64167_F_WGACA64167	812	215	215DR011 	Leptotrichia sp. | HOT_215 | Clone_DR011 | GB_AF385518 | Unnamed | G | 5	99.3	6/812	99.3	6/812	1438	1	134	812	945
	
B902622_J09_JTC_WGACA64184_F_WGACA64184	738	946	946_0755 	Haemophilus pittmaniae | HOT_946 | Strain_CCUG 48703 | GB_AJ290755 | Named | G | 4	99.9	1/738	99.9	1/738	1326	1	135	738	872
	
B902622_J12_JTC_WGACA64187_F_WGACA64187	790	100	100EI074 	Lachnospiraceae [G-3] sp. | HOT_100 | Clone_EI074 | GB_AF385573 | Phylotype | X | 4	99.5	4/790	99.5	4/790	1407	1	100	790	889
	
B902622_K02_JTC_WGACA64201_F_WGACA64201	825	212	212BU064 	Leptotrichia sp. | HOT_212 | Clone_BU064 | GB_AY008309 | Unnamed | G | 5	99.9	1/825	99.9	1/825	1483	1	93	825	917
	
B902622_K03_JTC_WGACA64202_F_WGACA64202	832	279	279F450d 	Porphyromonas sp. | HOT_279 | Strain_F0450d | GB_tbd | Unnamed | G | 6	99.5	4/832	99.5	4/832	1483	1	97	832	928
	
B902622_K07_JTC_WGACA64206_F_WGACA64206	851	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.8	2/852	99.9	1/851	1525	1	96	851	947
	
B902622_M06_JTC_WGACA64253_F_WGACA64253	590	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	100	0/590	100	0/590	1065	1	139	590	728
	
B902622_M07_JTC_WGACA64254_F_WGACA64254	823	392	392_7053 	Leptotrichia sp. | HOT_392 | Clone_P2PB_51 | GB_AY207053 | Phylotype | X | 5	99.3	6/823	99.3	6/823	1458	1	102	823	924
	
B902622_N15_JTC_WGACA64286_F_WGACA64286	817	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	99.6	3/817	99.9	1/815	1458	1	97	817	911
	
B902623_A23_JTC_WGACA63982_R_WGACA63982	715	284	284EP003 	Porphyromonas sp. | HOT_284 | Clone_EP003 | GB_AY008313 | Lost | X | 4	99	7/714	99.2	6/713	1252	1	1314	713	601
	
B902623_B03_JTC_WGACA63986_R_WGACA63986	829	473	473IK062 	Alloprevotella sp. | HOT_473 | Clone_IK062 | GB_AY349402 | Unnamed | G | 5	98.9	9/829	99	8/828	1451	1	1359	829	532
	
B902623_C08_JTC_WGACA64015_R_WGACA64015	870	329	329BR085 	Capnocytophaga leadbetteri | HOT_329 | Clone_BR085 | GB_GU350453 | Named | G | 5	99.4	5/871	99.7	3/869	1541	1	1341	870	472
	
B902623_C13_JTC_WGACA64020_R_WGACA64020	867	325	325AH015 	Capnocytophaga granulosa | HOT_325 | Clone_AH015 | GB_AY005074 | Named | G | 5	94.2	50/868	94.6	47/865	1330	1	1337	867	472
	
B902623_E17_JTC_WGACA64072_R_WGACA64072	679	479	479GT010 	Selenomonas sp. | HOT_479 | Clone_GT010 | GB_AY349405 | Lost | X | 3	100	0/679	100	0/679	1225	1	1329	679	651
	
B902623_F19_JTC_WGACA64098_R_WGACA64098	735	389	389_0541 	Abiotrophia defectiva | HOT_389 | Strain_ATCC 49176 | GB_D50541 | Named | G | 5	99.9	1/735	99.9	1/735	1321	1	1340	735	606
	
B902623_G01_JTC_WGACA64104_R_WGACA64104	805	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.8	2/805	99.8	2/805	1443	1	1357	805	553
	
B902623_I16_JTC_WGACA64167_R_WGACA64167	781	215	215DR011 	Leptotrichia sp. | HOT_215 | Clone_DR011 | GB_AF385518 | Unnamed | G | 5	99.7	2/781	99.7	2/781	1400	1	1340	781	560
	
B902623_J09_JTC_WGACA64184_R_WGACA64184	834	946	946_0755 	Haemophilus pittmaniae | HOT_946 | Strain_CCUG 48703 | GB_AJ290755 | Named | G | 4	99.6	3/835	99.9	1/833	1485	1	1373	834	540
	
B902623_J12_JTC_WGACA64187_R_WGACA64187	911	100	100EI074 	Lachnospiraceae [G-3] sp. | HOT_100 | Clone_EI074 | GB_AF385573 | Phylotype | X | 4	98.8	11/911	98.8	11/911	1593	1	1433	911	523
	
B902623_K02_JTC_WGACA64201_R_WGACA64201	838	212	212BU064 	Leptotrichia sp. | HOT_212 | Clone_BU064 | GB_AY008309 | Unnamed | G | 5	99.6	3/838	99.8	2/837	1494	1	1343	838	507
	
B902623_K03_JTC_WGACA64202_R_WGACA64202	753	284	284EP003 	Porphyromonas sp. | HOT_284 | Clone_EP003 | GB_AY008313 | Lost | X | 4	99.3	5/753	99.3	5/753	1335	1	1317	753	565
	
B902623_K07_JTC_WGACA64206_R_WGACA64206	821	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.8	2/822	99.9	1/821	1471	1	1350	821	529
	
B902623_M05_JTC_WGACA64252_R_WGACA64252	632	283	283DS033 	Porphyromonas catoniae | HOT_283 | Clone_DS033 | GB_AF366271 | Named | G | 5	99.7	2/628	99.8	1/627	1121	1	1314	628	688
	
B902623_M06_JTC_WGACA64253_R_WGACA64253	656	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	98.5	10/656	98.5	10/656	1139	1	1311	656	656
	
B902623_M07_JTC_WGACA64254_R_WGACA64254	779	392	392_7053 	Leptotrichia sp. | HOT_392 | Clone_P2PB_51 | GB_AY207053 | Phylotype | X | 5	99.5	4/779	99.5	4/779	1388	1	1340	779	562
	
B902623_N15_JTC_WGACA64286_R_WGACA64286	827	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	99.2	7/827	99.2	7/827	1460	1	1356	827	530
	
B902635_J20_JTC_WGACA68419_R_WGACA68419	603	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	99.5	3/603	99.5	3/603	1074	1	1265	603	663
	
B902636_J20_JTC_WGACA68419_F_WGACA68419	432	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	100	0/432	100	0/432	780	1	135	432	566
	
B902637_G23_JTC_WGACA67966_R_WGACA67966	787	870	870_4Z11 	TM7 [G-6] sp. | HOT_870 | Clone_4Z11 | GB_KM018322 | Phylotype | X | 4	94.3	45/787	94.4	44/786	1213	1	1360	787	575
	
B902637_J18_JTC_WGACA68033_R_WGACA68033	723	875	875_CN01 	SR1 [G-1] sp. | HOT_875 | Clone_CN01 | GB_JX294356 | Phylotype | X | 5	99.6	3/723	99.6	3/723	1290	1	1289	723	567
	
B902637_K07_JTC_WGACA68046_R_WGACA68046	702	075	075_F058 	Ruminococcaceae [G-1] sp. | HOT_075 | Clone__F058 | GB_AF287779 | Phylotype | X | 4	100	0/702	100	0/702	1267	1	1353	702	652
	
B902637_M21_JTC_WGACA68108_R_WGACA68108	736	215	215DR011 	Leptotrichia sp. | HOT_215 | Clone_DR011 | GB_AF385518 | Unnamed | G | 5	99.5	4/736	99.5	4/736	1310	1	1342	736	607
	
B902638_G23_JTC_WGACA67966_F_WGACA67966	842	870	870_4Z11 	TM7 [G-6] sp. | HOT_870 | Clone_4Z11 | GB_KM018322 | Phylotype | X | 4	99.4	5/839	99.4	5/839	1490	4	33	842	871
	
B902638_J18_JTC_WGACA68033_F_WGACA68033	737	875	875_CN01 	SR1 [G-1] sp. | HOT_875 | Clone_CN01 | GB_JX294356 | Phylotype | X | 5	99.9	1/737	99.9	1/737	1324	1	139	737	875
	
B902638_K07_JTC_WGACA68046_F_WGACA68046	577	075	075_F058 	Ruminococcaceae [G-1] sp. | HOT_075 | Clone__F058 | GB_AF287779 | Phylotype | X | 4	99.7	2/577	99.7	2/577	1032	1	135	577	711
	
B902638_M21_JTC_WGACA68108_F_WGACA68108	648	215	215DR011 	Leptotrichia sp. | HOT_215 | Clone_DR011 | GB_AF385518 | Unnamed | G | 5	99.7	2/648	99.7	2/648	1160	1	135	648	782
	
B902639_C20_JTC_WGACA67483_R_WGACA67483	731	907	907-Wade 	Bergeyella sp. | HOT_907 | Clone_BL190 | GB_JQ406533 | Phylotype | X | 1	99.7	2/731	99.9	1/730	1306	1	1315	731	586
	
B902640_C20_JTC_WGACA67483_F_WGACA67483	524	900	900-Wade 	Bergeyella sp. | HOT_900 | Clone_HS1_1W_C3 | GB_KC203058 | Phylotype | X | 4	99.2	4/524	99.2	4/524	928	1	29	524	552
	
B902643_D11_JTC_WGACA66730_R_WGACA66730	737	100	100EI074 	Lachnospiraceae [G-3] sp. | HOT_100 | Clone_EI074 | GB_AF385573 | Phylotype | X | 4	99.9	1/737	99.9	1/737	1324	1	1324	737	588
	
B902643_J16_JTC_WGACA66879_R_WGACA66879	673	183	183_8311 	Actinobaculum sp. | HOT_183 | Clone_EL030 | GB_AY008311 | Unnamed | G | 5	100	0/673	100	0/673	1214	1	1323	673	651
	
B902644_D11_JTC_WGACA66730_F_WGACA66730	856	100	100EI074 	Lachnospiraceae [G-3] sp. | HOT_100 | Clone_EI074 | GB_AF385573 | Phylotype | X | 4	99.4	5/856	99.4	5/856	1521	1	34	856	889
	
B902644_J16_JTC_WGACA66879_F_WGACA66879	451	183	183_8311 	Actinobaculum sp. | HOT_183 | Clone_EL030 | GB_AY008311 | Unnamed | G | 5	100	0/451	100	0/451	814	1	217	451	667
	
B902646_B13_JTC_WGACA66300_F_WGACA66300	567	075	075_F058 	Ruminococcaceae [G-1] sp. | HOT_075 | Clone__F058 | GB_AF287779 | Phylotype | X | 4	100	0/567	100	0/567	1023	1	135	567	701
	
B902649_E04_JTC_WGACA65595_R_WGACA65595	776	907	907-Wade 	Bergeyella sp. | HOT_907 | Clone_BL190 | GB_JQ406533 | Phylotype | X | 1	99.6	3/776	99.7	2/775	1382	1	1360	776	586
	
B902649_G04_JTC_WGACA65643_R_WGACA65643	710	305	305DO014 	Prevotella sp. | HOT_305 | Clone_DO014 | GB_AF385509 | Phylotype | X | 4	95	36/714	96.2	27/705	1115	1	1313	710	605
	
B902650_E04_JTC_WGACA65595_F_WGACA65595	765	900	900-Wade 	Bergeyella sp. | HOT_900 | Clone_HS1_1W_C3 | GB_KC203058 | Phylotype | X | 4	99.3	5/765	99.3	5/765	1357	1	93	765	857
	
B902650_G04_JTC_WGACA65643_F_WGACA65643	675	396	396_7050 	Prevotella sp. | HOT_396 | Clone_P4PB_83 | GB_AY207050 | Phylotype | X | 4	97.5	16/630	97.8	14/628	1058	45	186	673	814
	
